1,CAGLIARI,ATALANTA,1
2,ATALANTA,CAGLIARI,20
3,FIORENTINA,CATANIA,1
4,CATANIA,FIORENTINA,20
5,HELLAS VERONA,MILAN,1
6,MILAN,HELLAS VERONA,20
7,INTER,GENOA,1
8,GENOA,INTER,20
9,LAZIO,UDINESE,1
10,UDINESE,LAZIO,20
11,LIVORNO,ROMA,1
12,ROMA,LIVORNO,20
13,NAPOLI,BOLOGNA,1
14,BOLOGNA,NAPOLI,20
15,PARMA,CHIEVO,1
16,CHIEVO,PARMA,20
17,SAMPDORIA,JUVENTUS,1
18,JUVENTUS,SAMPDORIA,20
19,TORINO,SASSUOLO,1
20,SASSUOLO,TORINO,20
21,ATALANTA,TORINO,2
22,TORINO,ATALANTA,21
23,BOLOGNA,SAMPDORIA,2
24,SAMPDORIA,BOLOGNA,21
25,CATANIA,INTER,2
26,INTER,CATANIA,21
27,CHIEVO,NAPOLI,2
28,NAPOLI,CHIEVO,21
29,GENOA,FIORENTINA,2
30,FIORENTINA,GENOA,21
31,JUVENTUS,LAZIO,2
32,LAZIO,JUVENTUS,21
33,MILAN,CAGLIARI,2
34,CAGLIARI,MILAN,21
35,ROMA,HELLAS VERONA,2
36,HELLAS VERONA,ROMA,21
37,SASSUOLO,LIVORNO,2
38,LIVORNO,SASSUOLO,21
39,UDINESE,PARMA,2
40,PARMA,UDINESE,21
41,FIORENTINA,CAGLIARI,3
42,CAGLIARI,FIORENTINA,22
43,HELLAS VERONA,SASSUOLO,3
44,SASSUOLO,HELLAS VERONA,22
45,INTER,JUVENTUS,3
46,JUVENTUS,INTER,22
47,LAZIO,CHIEVO,3
48,CHIEVO,LAZIO,22
49,LIVORNO,CATANIA,3
50,CATANIA,LIVORNO,22
51,NAPOLI,ATALANTA,3
52,ATALANTA,NAPOLI,22
53,PARMA,ROMA,3
54,ROMA,PARMA,22
55,SAMPDORIA,GENOA,3
56,GENOA,SAMPDORIA,22
57,TORINO,MILAN,3
58,MILAN,TORINO,22
59,UDINESE,BOLOGNA,3
60,BOLOGNA,UDINESE,22
61,ATALANTA,FIORENTINA,4
62,FIORENTINA,ATALANTA,23
63,BOLOGNA,TORINO,4
64,TORINO,BOLOGNA,23
65,CAGLIARI,SAMPDORIA,4
66,SAMPDORIA,CAGLIARI,23
67,CATANIA,PARMA,4
68,PARMA,CATANIA,23
69,CHIEVO,UDINESE,4
70,UDINESE,CHIEVO,23
71,GENOA,LIVORNO,4
72,LIVORNO,GENOA,23
73,JUVENTUS,HELLAS VERONA,4
74,HELLAS VERONA,JUVENTUS,23
75,MILAN,NAPOLI,4
76,NAPOLI,MILAN,23
77,ROMA,LAZIO,4
78,LAZIO,ROMA,23
79,SASSUOLO,INTER,4
80,INTER,SASSUOLO,23
81,BOLOGNA,MILAN,5
82,MILAN,BOLOGNA,24
83,CHIEVO,JUVENTUS,5
84,JUVENTUS,CHIEVO,24
85,INTER,FIORENTINA,5
86,FIORENTINA,INTER,24
87,LAZIO,CATANIA,5
88,CATANIA,LAZIO,24
89,LIVORNO,CAGLIARI,5
90,CAGLIARI,LIVORNO,24
91,NAPOLI,SASSUOLO,5
92,SASSUOLO,NAPOLI,24
93,PARMA,ATALANTA,5
94,ATALANTA,PARMA,24
95,SAMPDORIA,ROMA,5
96,ROMA,SAMPDORIA,24
97,TORINO,HELLAS VERONA,5
98,HELLAS VERONA,TORINO,24
99,UDINESE,GENOA,5
100,GENOA,UDINESE,24
101,ATALANTA,UDINESE,6
102,UDINESE,ATALANTA,25
103,CAGLIARI,INTER,6
104,INTER,CAGLIARI,25
105,CATANIA,CHIEVO,6
106,CHIEVO,CATANIA,25
107,FIORENTINA,PARMA,6
108,PARMA,FIORENTINA,25
109,GENOA,NAPOLI,6
110,NAPOLI,GENOA,25
111,HELLAS VERONA,LIVORNO,6
112,LIVORNO,HELLAS VERONA,25
113,MILAN,SAMPDORIA,6
114,SAMPDORIA,MILAN,25
115,ROMA,BOLOGNA,6
116,BOLOGNA,ROMA,25
117,SASSUOLO,LAZIO,6
118,LAZIO,SASSUOLO,25
119,TORINO,JUVENTUS,6
120,JUVENTUS,TORINO,25
